category,bin_name,hit,hit_count
cross,rf_rd_wb_hz & raw_hazard_rs1,1,1156
cross,rf_rd_wb_hz & raw_hazard_rs2,1,984
cross,stall_branch & branch_active,0,0
cross,stall_branch & branch_taken,0,0
cross,stall_jump & jump_active,0,0
cross,stall_ld_hz & raw_hazard_rs1 & load_wait,1,104
cross,stall_ld_hz & raw_hazard_rs2 & load_wait,0,0
cross,stall_mem & lsu_wait,1,9616
cross,stall_multdiv & div_active,1,2549
cross,stall_multdiv & mult_active,1,70
input_bool,branch_decision_i==0,1,16477
input_bool,branch_decision_i==1,1,1234
input_bool,branch_in_dec==0,1,17291
input_bool,branch_in_dec==1,1,420
input_bool,controller_run==0,1,126
input_bool,controller_run==1,1,17585
input_bool,data_ind_timing_i==0,1,17711
input_bool,data_ind_timing_i==1,0,0
input_bool,div_en_dec==0,1,15063
input_bool,div_en_dec==1,1,2648
input_bool,ex_valid_i==0,1,2619
input_bool,ex_valid_i==1,1,15092
input_bool,id_fsm_q==0,1,11397
input_bool,id_fsm_q==1,1,6314
input_bool,instr_fetch_err_i==0,1,17711
input_bool,instr_fetch_err_i==1,0,0
input_bool,instr_valid_i==0,0,0
input_bool,instr_valid_i==1,1,17711
input_bool,jump_in_dec==0,1,17625
input_bool,jump_in_dec==1,1,86
input_bool,lsu_req_dec==0,1,6628
input_bool,lsu_req_dec==1,1,11083
input_bool,lsu_req_done_i==0,1,16244
input_bool,lsu_req_done_i==1,1,1467
input_bool,lsu_resp_valid_i==0,1,16347
input_bool,lsu_resp_valid_i==1,1,1364
input_bool,mult_en_dec==0,1,17559
input_bool,mult_en_dec==1,1,152
input_bool,outstanding_load_wb_i==0,1,14185
input_bool,outstanding_load_wb_i==1,1,3526
input_bool,outstanding_store_wb_i==0,1,13079
input_bool,outstanding_store_wb_i==1,1,4632
input_bool,ready_wb_i==0,1,6794
input_bool,ready_wb_i==1,1,10917
input_bool,rf_ren_a==0,1,729
input_bool,rf_ren_a==1,1,16982
input_bool,rf_ren_b==0,1,7747
input_bool,rf_ren_b==1,1,9964
output_bit,rf_rd_wb_hz==0,1,15571
output_bit,rf_rd_wb_hz==1,1,2140
output_bit,stall_branch==0,1,17711
output_bit,stall_branch==1,0,0
output_bit,stall_jump==0,1,17711
output_bit,stall_jump==1,0,0
output_bit,stall_ld_hz==0,1,17588
output_bit,stall_ld_hz==1,1,123
output_bit,stall_mem==0,1,7202
output_bit,stall_mem==1,1,10509
output_bit,stall_multdiv==0,1,15092
output_bit,stall_multdiv==1,1,2619
predicate,branch_active,1,420
predicate,branch_taken,1,181
predicate,div_active,1,2648
predicate,jump_active,1,86
predicate,load_wait,1,2911
predicate,lsu_wait,1,9616
predicate,mult_active,1,152
predicate,raw_hazard_rs1,1,1156
predicate,raw_hazard_rs2,1,984
predicate,store_wait,1,3883
predicate,wb_nonzero,1,16005
predicate,wb_zero,1,1706
region,region:R_rf_rd_wb_hz_000,0,0
region,region:R_stall_ld_hz_000,1,85
region,region:R_stall_ld_hz_001,1,123
region,region:R_stall_mem_000,1,9616
region,region:R_stall_mem_001,0,0
